Date,Time,TA1_UN,TA1_PN,TA2_UN,TA2_PN,TA3_UN,TA3_PN,TP1_UN,TP1_PN,TP2_UN,TP2_PN,TP3_UN,TP3_PN,UU1_UN,UU1_PN,UU2_UN,UU2_PN,UU3_UN,UU3_PN,UU4_UN,UU4_PN,UC1_UN,UC1_PN,UC2_UN,UC2_PN 
04-13-2017,21:51,Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running, 
04-13-2017,21:55,Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running, 
04-13-2017,22:07,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running, 
04-13-2017,22:34,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running, 
04-14-2017,03:26,Running,Running,Running,Running,Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running, 
04-14-2017,03:32,Running,Running,Running,Running,Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running, 
04-14-2017,03:51,Running,Running,Running,Running,Running,Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running,Not-Running, 
04-14-2017,04:15,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Not-Running,Not-Running,Not-Running,Not-Running, 
04-14-2017,04:19,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-14-2017,05:01,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-14-2017,12:52,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-14-2017,23:49,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-15-2017,04:20,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-15-2017,14:11,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-15-2017,15:13,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-16-2017,14:47,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-16-2017,23:08,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-17-2017,23:44,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-18-2017,10:46,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-19-2017,00:52,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-20-2017,18:08,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Not-Running,Running,Running,Running,Running,Running,Running,Running, 
04-21-2017,20:48,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Not-Running,Running,Running,Running,Running,Running,Running,Running, 
04-22-2017,00:02,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Not-Running,Running,Running,Running,Running,Running,Running,Running, 
04-22-2017,00:11,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-22-2017,03:24,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-23-2017,02:57,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-25-2017,02:17,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running, 
04-25-2017,18:10,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,Running,